,id,text,lemmas,pos
0,408906692693221377,да все таки он немного похож на него но мой мальчик все равно лучше,да всё таки он немного похожий на оно но мыть мальчик всё равно хороший,PRCL PRCL PRCL NPRO ADVB ADJS PREP NPRO CONJ VERB NOUN PRCL CONJ COMP
1,408906695083954177,ну ты идиотка я испугалась за тебя,ну ты идиотка я испугаться за ты,PRCL NPRO NOUN NPRO VERB PREP NPRO
2,408906695356973056,кто то в углу сидит и погибает от голода а мы еще порции взяли хотя уже и так жрать не хотим,кто то в угол сидеть и погибать от голод а мы ещё порция взять хотя уже и так жрать не хотеть,NPRO CONJ PREP NOUN VERB CONJ VERB PREP NOUN CONJ NPRO PRCL NOUN VERB CONJ ADVB CONJ CONJ INFN PRCL VERB
3,408906761416867842,вот что значит страшилка но блин посмотрев все части у тебя создастся ощущение что авторы курили что то,вот что значит страшилка но блин посмотреть всё часть у ты создаться ощущение что автор курить что то,PRCL CONJ CONJ NOUN CONJ INTJ GRND PRCL NOUN PREP NPRO VERB NOUN CONJ NOUN VERB CONJ CONJ
4,408906761769598976,ну любишь или нет я не знаю кто ты бля,ну любить или нет я не знать кто ты бля,PRCL VERB CONJ PRED NPRO PRCL VERB NPRO NPRO INTJ
5,408906762436481024,ох ну это конечно же чтобы у нее было много друзей ведь она такая мимими,ох ну это конечно же чтобы у она быть много друг ведь она такой мимими,INTJ PRCL PRCL CONJ PRCL CONJ PREP NPRO VERB ADVB NOUN PRCL NPRO ADJF NOUN
6,408906764114206720,у тебя есть ухажер нет мои уши не кто не жрет,у ты есть ухажёр нет мой ухо не кто не жрать,PREP NPRO INFN NOUN PRED ADJF NOUN PRCL NPRO PRCL VERB
7,408906764608749568,поприветствуем моего нового читателя,поприветствовать мой новый читатель,VERB ADJF ADJF NOUN
8,408906765841870848,теперь у меня есть частичка сиднея,теперь у я есть частичка сидней,ADVB PREP NPRO INFN NOUN NOUN
9,408906765896785920,люблю маму и папу а в остальное я так влюбляюсь привязываюсь,любить мама и папа а в остальной я так влюбляться привязываться,VERB NOUN CONJ NOUN CONJ PREP ADJF NPRO CONJ VERB VERB
10,408906815125340160,как то я забыла что вчера приехал из деревни наш котэня и испугалась когда он утром пришел ко мне общаться доброе у,как то я забыть что вчера приехать из деревня наш котэнить и испугаться когда он утром прийти к я общаться добрый у,CONJ CONJ NPRO VERB CONJ ADVB VERB PREP NOUN ADJF GRND CONJ VERB CONJ NPRO ADVB VERB PREP NPRO INFN ADJF PREP
11,408906818287828993,так было задумано да,так быть задумать да,CONJ VERB PRTS PRCL
12,408906819084754944,дааааа ты ты ты и только ты,дааааа ты ты ты и только ты,NOUN NPRO NPRO NPRO CONJ ADVB NPRO
13,408906820019712002,о нет вы ведь все равно обзоры урезаете просто одна версия сильно порезанная а другая полная только без мусора,о нет вы ведь всё равно обзор урезать просто один версия сильно порезать а другой полный только без мусор,PREP PRED NPRO PRCL PRCL CONJ NOUN VERB PRCL ADJF NOUN ADVB PRTF CONJ ADJF ADJF ADVB PREP NOUN
14,408906854383620096,смотри там случайно в аспирантуру не попади наука никого до добра не доводила,смотреть там случайно в аспирантура не попасть наука никто до добро не доводить,VERB ADVB ADVB PREP NOUN PRCL VERB NOUN NPRO PREP NOUN PRCL VERB
15,408906854803451904,эхх а в угату о контрольных предупреждают уже на контрольной,эхх а в угата о контрольный предупреждать уже на контрольный,None CONJ PREP NOUN PREP ADJF VERB ADVB PREP ADJF
16,408906854849204225,а а то подумала что у тебя там пробежечка,а а то подумать что у ты там пробежечка,CONJ CONJ CONJ VERB CONJ PREP NPRO ADVB NOUN
17,408906855146983424,зря вы с этой хуйней шутите я много историй наблюдал в режиме рил времени по работе с русскими которые разбивались на них,зря вы с этот хуйня шутить я много история наблюдать в режим рил время по работа с русский который разбиваться на они,ADVB NPRO PREP ADJF NOUN VERB NPRO ADVB NOUN VERB PREP NOUN NOUN NOUN PREP NOUN PREP ADJF ADJF VERB PREP NPRO
18,408906857659392000,очень главное спасибо медвед он работал клоуном аниматором,очень главный спасибо медведа он работать клоун аниматор,ADVB ADJF INTJ NOUN NPRO VERB NOUN NOUN
19,408906857982726144,у нас есть прекрасная история как сдохнуть за неделю,у мы есть прекрасный история как сдохнуть за неделя,PREP NPRO INFN ADJF NOUN CONJ INFN PREP NOUN
20,408906858783453184,сегодня столько поводов выпить что я уже не могу усидеть на месте,сегодня столько повод выпить что я уже не мочь усидеть на место,ADVB ADVB NOUN INFN CONJ NPRO ADVB PRCL VERB INFN PREP NOUN
21,408906858921865217,унылый наверное вдруг его перед этим чпокнули,унылый наверное вдруг он перед это чпокнуль,ADJF CONJ ADVB NPRO PREP NPRO NOUN
22,408906911049068544,при поддержке администрации мо белевский район сборная белевского района по,при поддержка администрация мо белевский район сборная белевский район по,PREP NOUN NOUN NOUN ADJF NOUN NOUN ADJF NOUN PREP
23,408906911929466880,поприветствуем моего нового читателя,поприветствовать мой новый читатель,VERB ADJF ADJF NOUN
24,408906913154625536,как же хооорошо валяться но мой бедный обколотый попец хочет на прогулку,как же хооорошо валяться но мыть бедный обколоть попец хотеть на прогулка,CONJ PRCL ADVB INFN CONJ VERB ADJF PRTF NOUN VERB PREP NOUN
25,408906915050434560,хоть у кого то заебись все настюх рада за тебя пиздец прям искренне рада есть все же справедливость на свете,хоть у кто то заестись всё настюха рада за ты пиздец прям искренне рада есть всё же справедливость на свет,PRCL PREP NPRO CONJ VERB PRCL NOUN NOUN PREP NPRO NOUN PRCL ADVB NOUN INFN PRCL PRCL NOUN PREP NOUN
26,408906969425010688,да почему мне похуй то новерное потому что еще не ночь темная,да почему я похуй то новерный потому что ещё не ночь тёмный,PRCL ADVB NPRO NOUN CONJ ADJF ADVB CONJ PRCL PRCL NOUN ADJF
27,408906969546633216,блин хочется писать и писать всякую хуйню пишу но все равно хочется,блин хотеться писать и писать всякий хуйня писать но всё равно хотеться,INTJ VERB INFN CONJ INFN ADJF NOUN VERB CONJ PRCL CONJ VERB
